10th(%),12th(%),Diploma Marks ,Overall CGPA,Overall %,Current backlogs,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamentals,Coding,Written English,COMPANY PLACED
75,71,0,7.6,68.49,0,608,78,87,67,80,25,73,43,75,Mangalore Infotech Solutions Pvt. Ltd (Unicourt India)/Infosys Ltd./Accenture
83,73,0,7.24,64.91,0,539,53,80,20,60,40,53,45,68,None
75.04,70.03,0,6.84,60.88,0,425,31,33,27,33,40,40,0,28,None
74.1,61,0,7.5,67.49,0,478,44,40,27,67,45,53,45,33,Vyshnavi Information Technologies Pvt. Ltd.
80.96,74.5,0,8.21,74.6,0,583,62,47,73,67,40,73,80,65,Juego Studio
91.2,70,0,7.21,64.61,0,530,56,73,40,53,55,67,0,58,Infosys Ltd.
79.2,76,0,8.07,73.21,0,515,49,60,13,73,30,80,28,54,TCS Ltd.
88,80,0,6.92,61.67,0,473,44,40,47,47,25,47,0,28,TCS Ltd.
89,76,0,6.36,56.08,0,433,36,40,20,47,30,13,0,47,None
87.04,71.16,0,6.73,59.81,0,493,47,60,13,67,45,47,0,75,SSI People/Qspiders
84.32,66,0,6.94,61.89,0,515,53,67,47,47,30,40,0,77,None
91.5,81.5,0,8.17,74.21,0,591,73,67,73,80,50,60,10,78,Infosys Ltd.
75.6,68.7,0,5.29,45.4,1,492,51,67,33,53,0,27,0,75,None
86,80.25,0,5.59,48.39,1,498,49,67,27,53,30,60,10,34,None
91,75.5,0,7.9,71.47,0,541,58,67,40,67,35,40,10,63,None
